Year,Term,YearTerm,Subject,Number,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Students,Primary Instructor
2011,Spring,2011-sp,ADV,493,Advertising and Society,LCD,32,38,13,10,10,7,4,2,0,0,0,0,0,0,116,"Ceisel, Christina M"
2011,Spring,2011-sp,AE,202,Aerospace Flight Mechanics,LCD,3,17,6,10,18,2,4,6,0,0,2,0,0,0,68,"Martin, Christopher S"
2011,Spring,2011-sp,AE,302,Aerospace Flight Mechanics II,LCD,17,22,4,4,2,0,0,0,0,0,0,0,1,0,50,"Namachchivaya, N S"
2011,Spring,2011-sp,AE,312,Compressible Flow,LCD,1,25,1,4,21,0,0,18,0,0,10,0,2,1,82,"Dutton, J C"
2011,Spring,2011-sp,AE,323,Applied Aerospace Structures,LCD,1,18,11,4,14,4,4,9,8,1,2,2,4,0,82,"Lambros, John"
2011,Spring,2011-sp,AE,353,Aerospace Control Systems,LCD,2,5,5,19,15,17,14,6,10,2,0,0,0,1,95,"Voulgaris, Petros G"
2011,Spring,2011-sp,AE,370,Aerospace Numerical Methods,LCD,0,7,10,6,10,2,3,2,0,0,0,0,0,0,40,"McFarland, Donald M"
2011,Spring,2011-sp,AE,419,Aircraft Flight Mechanics,LCD,1,5,3,6,3,2,2,1,0,0,0,0,1,0,24,"Lee, Ki D"
2011,Spring,2011-sp,AE,434,Rocket Propulsion,LCD,0,14,2,5,14,0,1,8,0,0,0,0,0,0,44,"Austin, Joanna M"
2011,Spring,2011-sp,AE,435,Electric Propulsion,LCD,1,9,5,5,4,1,4,2,1,0,0,0,0,0,32,"Burton, Rodney L"
2011,Spring,2011-sp,AE,441,Aerospace Systems Design II,LCD,0,29,11,1,1,0,0,0,0,0,0,0,0,0,42,"Selig, Michael S"
2011,Spring,2011-sp,AE,461,Structures & Control Lab,LCD,2,18,17,11,2,3,4,0,0,1,0,0,0,0,58,"Chasiotis, Ioannis"
2011,Spring,2011-sp,AE,526,Composites Manufacturing,LCD,0,9,8,2,5,2,0,0,0,0,0,0,0,0,26,"White, Scott R"
2011,Spring,2011-sp,AFRO,100,Intro to African American St,DIS,0,2,7,2,1,6,0,2,5,0,0,0,0,0,25,"Hoff, Tamara L"
2011,Spring,2011-sp,AFRO,103,Black Women in the Diaspora,LCD,0,2,6,4,7,8,3,4,6,1,2,0,4,0,47,"Flynn, Karen"
2011,Spring,2011-sp,AFRO,199,"Academics, Ldrshp, & Community",LEC,17,39,5,13,14,2,1,6,0,0,0,0,0,0,97,"James, Rory G"
2011,Spring,2011-sp,AFRO,342,Black Men and Masculinities,LEC,0,3,4,4,6,12,8,0,3,2,2,0,0,0,44,"Muhammad, Ray"
2011,Spring,2011-sp,AFRO,411,African American Psychology,LCD,1,22,0,0,3,0,0,0,0,0,0,0,1,1,27,"Landrum-Brown, Joycelyn"
2011,Spring,2011-sp,AGED,100,Intro to Ag & Leadership Ed,LCD,13,11,1,4,1,1,2,0,0,0,0,0,3,1,36,"Flournoy, Corey"
2011,Spring,2011-sp,AGED,260,Intro to Leadership Studies,LCD,2,12,2,3,3,3,1,1,0,0,1,0,0,0,28,"Burgoon, Lisa A"
2011,Spring,2011-sp,AGED,260,Intro to Leadership Studies,LCD,5,18,1,0,2,1,1,0,0,0,0,0,1,0,29,"Burgoon, Lisa A"
2011,Spring,2011-sp,AGED,260,Intro to Leadership Studies,LCD,2,16,6,1,2,0,0,1,0,0,0,0,0,0,28,"Burgoon, Lisa A"
2011,Spring,2011-sp,AGED,300,Training and Development,LCD,0,3,1,3,8,4,0,4,1,0,0,0,0,0,24,"Flournoy, Corey"
2011,Spring,2011-sp,AGED,380,Leadership in Groups and Teams,LCD,0,14,10,3,0,1,0,0,0,0,0,0,0,0,28,"Rosch, David M"
2011,Spring,2011-sp,AGED,430,Youth Development Programs,LCD,12,7,0,1,1,0,0,0,0,0,0,0,0,0,21,"Clark, Richard W"
2011,Spring,2011-sp,AHS,399,Int. Collab. in Health Serv.,DIS,1,28,0,0,2,1,0,0,0,0,0,0,0,0,32,"Bobitt, Julie L"
2011,Spring,2011-sp,AIS,101,Intro to Amer Indian Studies,LCD,2,18,2,4,0,1,0,0,0,0,0,0,0,1,27,"Reese, Debbie"
2011,Spring,2011-sp,AIS,101,Intro to Amer Indian Studies,LCD,0,3,11,9,2,1,1,0,1,0,0,0,1,0,29,"Byrd, Jodi"
2011,Spring,2011-sp,ANSC,101,Contemporary Animal Issues,LEC,7,58,8,12,33,4,4,9,1,1,0,0,1,0,138,"Johnson, Janeen L"
